name,type,description
Pikachu,Électrik,"Pikachu est un petit Pokémon joufflu qui ressemble à un rongeur, au corps recouvert d'un pelage jaune avec deux bandes horizontales brunes dans le dos. Il a une petite bouche, de longues oreilles pointues aux extrémités noires et des yeux noir et blanc. Il a sur chacune de ses joues un marquage rouge qui est en réalité une poche contenant de l'électricité. Il a cinq petits doigts au bout de chacun de ses membres antérieurs, tandis que ses pattes postérieures ont trois petits orteils. Il a de la fourrure brune à la base de sa queue en forme d'éclair. Bien que catégorisé comme quadrupède, il est capable de se tenir et de se déplacer sur ses pattes postérieures.
Pikachu n'a pas été conçu au départ comme un rongeur ou une souris mais comme une simple créature ronde. Toutefois, ses poches d'électricité sont inspirées des abajoues que certains rongeurs, dont l'écureuil, utilisent pour stocker de la nourriture et il a finalement été décidé de le présenter comme une souris. Ses oreilles en pointe noire et le motif de son dos ne sont inspirés d'aucun animal et la forme en éclair de sa queue a été choisie pour expliciter son type Électrik[2].
Pikachu a deux formes alternatives : le Pikachu Cosplayeur, apparu et disponible uniquement dans Pokémon Rubis Oméga et Saphir Alpha, est toujours de sexe féminin et a un marquage noir en forme de cœur au bout de la queue. Il peut être déguisé en l'un des cinq déguisements disponibles, chacun correspondant à une condition de concours Pokémon ; le Pikachu à Casquette, apparu comme Pokémon événementiel dans la septième génération, est toujours de sexe masculin et a sept variantes, chacune portant l'une des casquettes portées par Sacha Ketchum dans le dessin animé, et dont la capacité Z signature est Giga-Tonnerre ; le Pikachu partenaire, qui peut être de n'importe quel sexe, mais qui a de meilleures statistiques qu'un Pikachu ordinaire et qui peut apprendre des capacités exclusives : Pika-Sprint, Pika-Piqué, Pika-Splash et Pika-Fracas.
Le dessin animé montre que Pikachu, à l'état sauvage, vit en groupe dans les régions boisées. Les Pikachu communiquent entre eux en utilisant des couinements et en frottant leurs queues. Pikachu utilise également l'électricité pour recevoir et envoyer des messages aux autres Pikachu, mais aussi aux autres Pokémon de type Électrik. Il lève la queue pour analyser ses alentours : dans cette position, il lui arrive parfois d'être frappé par la foudre. Quand des Pikachu se rassemblent en groupes importants, ils peuvent provoquer des orages. Pikachu se nourrit principalement de Baies, qu'il fait griller avec son électricité pour les rendre tendres et comestibles. Un signe inévitable indiquant la présence d'un Pikachu dans une habitation est un morceau de pelouse brûlée. Occasionnellement, il peut manger et détruire des cabines téléphoniques, des câbles et toute autre installation électrique. Il se recharge quand il dort ; ainsi, le stress et le manque de sommeil peuvent influencer sa puissance. Il peut nuancer ses décharges électriques. Il peut libérer de l'électricité à partir de ses joues, mais également à partir de sa queue, qui agit comme un paratonnerre. Sa puissance électrique lui permet aussi de recharger d'autres Pikachu. Il est le seul Pokémon à bénéficier des effets de la Balle Lumière. Sa capacité signature est Électacle et sa capacité Z signature est Pikachute Foudroyante.
Dans Légendes Pokémon : Arceus, ce Pokémon a par défaut un comportement pacifique et observe le protagoniste dès qu'il le voit, mais deviendra agressif en cas de tentative de capture, de combat ou si un objet lui est directement lancé dessus. S'il est trouvé dans une Distorsion Spatio-Temporelle, il est agressif.
Les Pikachu femelles ont au bout de la queue une encoche en V qui ressemble à un cœur.
Lorsqu'il est chromatique, Pikachu a une teinte plus orangée que d'habitude.
Pikachu est l'évolution de Pichu, si celui-ci est suffisamment heureux. Pikachu a le choix d'évoluer en Raichu, ou en Raichu d'Alola, grâce à une Pierre Foudre selon l'environnement.
Dans Pokémon Soleil et Lune et Pokémon Ultra-Soleil et Ultra-Lune, dont l'action se déroule uniquement dans la région d'Alola, il est possible de faire évoluer Pikachu en Raichu en utilisant la Pierre Foudre dans l'Ultra-Dimension.
Une exception concerne le Pikachu Pokémon de départ de Pokémon Jaune, qui n'évolue jamais, en accord avec le dessin animé dont il adapte l'intrigue. De plus, Pichu n'existant pas dans la première génération, Pikachu était un Pokémon de base.
Deux nouvelles exceptions apparaissent avec Pokémon Rubis Oméga et Saphir Alpha, Pokémon Soleil et Lune et Pokémon Ultra-Soleil et Ultra-Lune : le Pikachu Cosplayeur et le Pikachu à Casquette, qui sont inaptes à l'évolution et à la reproduction.
Note : Pikachu évolue au niveau 22 dans Pokémon Quest (les pierres évolutives n'étant pas présentes dans ce dernier).
On dit aussi que Ken Sugimori l'aurait appelé ainsi en hommage au hamster d'un amour de jeunesse qui s'appelait aussi Pikachu[4].
Pikachu et sa lignée évolutive sont les seuls Pokémon à pouvoir apprendre Électacle.
Du fait de son statut de mascotte de la franchise, Pikachu est sans doute le Pokémon ayant eu droit au plus grand nombre de distributions événementielles :
Pikachu apparaît comme personnage jouable, où il est de type Attaquant. C'est le premier Pokémon que le joueur utilise. À noter que Pikachu ne dispose pas de ligne évolutive dans ce jeu.
Pikachu est le seul Pokémon sur les huit personnages disponibles dès le début.
Pikachu est le seul Pokémon parmi les quinze personnages jouables dès le début.
Pikachu fait partie des 21 personnages jouables dès le début du jeu.
Pikachu fait partie des trente-sept personnages jouables immédiatement de la version Nintendo 3DS et des quarante-et-un de la version Wii U.
Il est présent depuis le premier jeu de la série, Super Smash Bros.. Il peut être sélectionné sous sa forme mâle ou femelle, mais également sous son costume de Pikachu Catcheur. Comme sur Nintendo 64, il fait partie des 8 combattants disponibles dès le début.
  
Pikachu a été officialisé comme étant un des combattants disponibles. En plus d'utiliser des attaques électriques comme dans les jeux principaux, il attaque aussi physiquement avec des coups de poing, de pied, et de queue. Beaucoup de ses attaques et poses sont tirées des panoplies de coups de Heihachi et Kazuya Mishima de la série Tekken. En plus de Pikachu, il a été dévoilé que le Pikachu Cosplayeur serait jouable sous son costume de catcheur.
Grâce à son amiibo ou aléatoirement en terminant un Défi des 100 Mario, Pikachu peut être un costume jouable : 
Un Badge de Pikachu est disponible dans l'une des machines de jeu.
De nombreux Pikachu apparaissent au fil des épisodes de la série, surtout lors des premières générations.
Le Pikachu le plus connu est le Pikachu de Sacha, mais il y a aussi Sparky, le Pikachu de Richie.
Dans l'épisode Pokémon aux urgences, de nombreux Pikachu viennent prêter main-forte au Pikachu de Sacha, ils appartiennent certainement à des Dresseurs de Jadielle.
Dans l'épisode Le Pi-Kahuna, Victor possède un Pikachu surfeur appelé Puka.
Dans le premier long-métrage, Pokémon : Le film, un clone du Pikachu de Sacha est créé par Mewtwo, il se nomme « Pikachutwo ». Il réapparaît également dans le film Le retour de Mewtwo.
Dans l'épisode spécial NB 1, une jeune Dresseuse nommée Ayumi possède une Pikachu femelle. D'ailleurs quand Pierre et Rachid l'ont vue sur le comptoir du Centre Pokémon, ils ont d'abord cru qu'il s'agissait de celui de Sacha, mais dés qu'ils virent que sa queue était différente, ils comprirent qu'en fait ce n'était pas lui.
Dans Pokémon : Les origines, un Pikachu n'apparait que très brièvement dans le dernier épisode. Red en capture un lors de sa quête pour le Pokédex une fois qu'il a gagné contre la Ligue Pokémon.
Dans Pokémon Générations, plus précisément dans l'épisode 1, on peut y voir le Pikachu du joueur.
Goh capture un Pikachu femelle dans le LV035. Elle lui offre même une Pierre Foudre.
Dans La série : Pokémon, les horizons, Friede possède un Pikachu appelé « Capitaine Pikachu ».
Dans l'édition de Glénat, Pikachu est le titre du chapitre 4. Dans ce chapitre, Rouge en capture un qu'il surnomme Pika. Dans l'arc Or, Argent et Cristal, il est révélé que Jaune possède elle aussi un Pikachu femelle nommée Chuchu.
Dans Satoshi to Pikachu, un manga basé sur le dessin animé, plus précisement la saison à Johto, le Pikachu de Sacha est un des personnages principaux.
Le Pikachu de Sacha est le personnage principal du manga Electric Tale of Pikachu, une adaptation du dessin animé.
Dans le manga, Sacha découvre Pikachu sous le plancher de sa maison alors qu'il était en train de grignoter les fils.
Le Pikachu de Richie apparaît également mais il est surnommé « Chuchino ».
Pikachu a une figurine à son effigie dans le jeu de figurines à collectionner, dans la première extension : le Premier Défi. Sa figurine porte le numéro 18. Pour plus d'informations, voir Pikachu (Premier Défi 18).
Pikachu apparaît pour la première fois dans l'extension Carte promotionnelle, jamais sortie en France.
Pikachu apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Raichu,Électrik,"Raichu est un Pokémon ressemblant à une souris. Son corps est orange avec un ventre blanc. Il possède une longue queue noire avec au bout un éclair jaune. Ses joues sont jaunes, ses pattes sont marron ; il n'a pas de doigt visible sur les pattes avant, mais en a trois les pattes arrière qui sont blanches côté paume tandis qu'un cercle jaune fait penser à un talon. Ses oreilles sont grandes, jaunes à l'intérieur et marron à l'extérieur.
Dans Légendes Pokémon : Arceus, ce Pokémon est trouvable à l'état sauvage uniquement sous sa forme Baron. Il a donc par défaut un comportement agressif et attaque le protagoniste dès qu'il le voit.
Depuis Pokémon Soleil et Lune, Raichu possède une nouvelle variante, appelée Raichu d'Alola.
La pointe de la queue des Raichu femelles est moins pointue.
Lorsqu'il est chromatique, Raichu a une couleur orange bien plus prononcée, tandis que le bout de sa queue, ses joues et l'intérieur de ses oreilles sont d'un jaune tirant vers le cuivré, légèrement argenté.
Raichu est l'évolution de Pikachu, lui-même l'évolution de Pichu. Pichu devient Pikachu si le Pokémon est heureux.
Puis Pikachu peut évoluer en Raichu grâce à une Pierre Foudre, ou alors en Raichu d'Alola selon l'environnement.
À noter que le Pikachu de départ dans Pokémon Jaune et Pokémon : Let's Go, Pikachu ne peut évoluer car il refuse la Pierre Foudre. Il en est de même pour le Pikachu Cosplayeur offert dans Pokémon Rubis Oméga et Saphir Alpha et les Pikachu à Casquette qui peuvent être obtenus de manière événementielle dans Pokémon Soleil et Lune , Pokémon Ultra-Soleil et Ultra-Lune et Pokémon Épée et Bouclier .
Dans Pokémon Soleil et Lune et Pokémon Ultra-Soleil et Ultra-Lune, dont l'action se déroule uniquement dans la région d'Alola, il est possible de faire évoluer Pikachu en Raichu en utilisant la Pierre Foudre dans l'Ultra-Dimension. Si la Pierre Foudre est utilisée hors de l'Ultra-Dimension, Pikachu évoluera alors en Raichu d'Alola.
Dans Pokémon Quest, Pikachu évolue en Raichu à partir du niveau 22, sans pierre évolutive.
Raichu et sa lignée évolutive sont les seuls Pokémon à pouvoir apprendre Électacle.
Un Raichu apparaît pour la première fois dans l'épisode 14, où Pikachu affronte le Raichu du Major Bob. Ce Raichu a de puissantes attaques électriques, mais a des lacunes en ce qui concerne les attaques basées sur la vitesse, le Major Bob l'ayant fait évoluer dès qu'il l'a capturé, à un faible niveau.
Un autre Raichu apparaît dans l'épisode 40 très rapidement et dans l'épisode 69 où Sacha rencontre Catherine qui souhaite également devenir Maître Pokémon.
Un Raichu fait son apparition dans l'épisode 90, ou il fait partie de la troupe théâtrale du bateau. Ce Raichu est très timide et refuse de monter sur scène et d'approcher son Dresseur, Nora. En effet, la première fois qu'il se sont rencontrés, Nora a eu une réaction violente face à l'électricité de Raichu. Depuis, Raichu pense qu'elle a toujours peur de lui et est devenu renfermé et triste. Néanmoins, lors de l'attaque de la Team Rocket, le courage dont fait preuve Nora pour le protéger lui fait perdre cette peur, et il redevient aimant envers son Dresseur comme avant. Il donne une représentation à la fin de l'épisode avec la troupe, Pikachu (Doublé par Sacha.) et Psykokwak, avec l'aide également d'Ondine et de Jacky.
La mère de Marie en possède un dans l'épisode 139, celui-ci lui sert à rassembler ses Wattouat. Un Raichu apparaît également dans l'EP242, il fait partie des Pokémon électriques se rendant à un lac qui les soigne.
Un autre apparaît aussi dans Les Vacances de Pikachu.
Tanguy possède également un Raichu.
Dans le DP024, une pâtissière nommée Abigail utilise un Raichu pour faire des gâteaux grâce à ses attaques électriques.
Dans l'épisode 540, Sacha affronte le Raichu de Sho avec Pikachu. Contrairement au Raichu du Major Bob, celui-ci connaît les attaques de vitesse et bat Sacha la première fois, mais Pikachu l'emporte lors du second match.
Un Raichu est temporairement attribué à Sacha, à l'école d'été Pokémon de l'épisode DP088.
Tierno possède également un Raichu.
Goh fait évoluer son Pikachu femelle en Raichu avec la Pierre Foudre qu'il a eu en cadeau, afin d'aider les autres Pikachu et Raichu capturés par la Team Rocket.
Raichu a une figurine à son effigie dans le jeu de figurines à collectionner, dans la première extension : le Premier Défi. Sa figurine est la numéro 19. Pour plus d'informations, voir Raichu (Premier Défi 19).
Raichu apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Raichu apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Sabelette,Sol,"Sabelette est un Pokémon ressemblant à un pangolin au corps cuirassé jaune. Son ventre est complètement beige pâle en plus de son menton. Il possède des yeux noir et bleu et deux petites oreilles. Ce bipède est muni de trois griffes aux bras et de deux aux jambes. Sabelette vit en horde.
Depuis Pokémon Soleil et Lune, Sabelette possède une nouvelle variante, appelée Sabelette d'Alola.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Sabelette a une cuirasse verte au lieu de jaune et un torse plus clair.
Sabelette évolue à partir du niveau 22 en Sablaireau.
Notes : Sabelette évolue au niveau 16 dans Pokémon Quest.
À l'heure actuelle, Sabelette n'a été distribué de manière événementielle qu'en une seule occasion :
Un Sabelette apparaît dans l'épisode 1 : on le voit brièvement tandis que Sacha et Pikachu fuient des Pokémon. Un autre prend une place plus importante dans l'épisode 8 où un Dresseur, Albert, en possède un et bat Sacha et Pikachu à plate couture.
On peut apercevoir des Sabelette dans l'oasis d'Écrémeuh dans l'épisode 207, ainsi qu'au Hoothoot Express dans l'épisode 223.
Dans l'épisode 494, un Sabelette sauvage apparaît dans la forêt.
Dans l'épisode 516, Sacha, Aurore et Pierre aident Maïté à récupérer son Sabelette, qui est dans sa Poké Ball au fond d'un lac.
Dans le LH021, lors d'un appel vidéo avec Liko, Anne montre un Sabelette à son amie qu'elle aurait capturé au cours d'une aventure avec son Moustillon.
Sabelette apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Sabelette apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Sablaireau,Sol,"Sablaireau est un Pokémon ressemblant à la fois au blaireau (pattes), au tatou et au pangolin, avec un corps jaune et un ventre blanc pâle. Il possède deux yeux noirs, deux grandes oreilles en pointes et une corne jaune sur la tête. Son dos est hérissé de grosses épines marron allant de la tête jusqu'au bas du dos. Contrairement à sa pré-évolution Sabelette, sa queue n'a pas de rayures. Ce bipède est muni de deux grandes griffes aux bras et aux jambes.
Depuis Pokémon Soleil et Lune, Sablaireau possède une nouvelle variante, appelée Sablaireau d'Alola.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Sablaireau a la peau d'une couleur beige clair et des épines dorsales de couleur rouge vif.
Sablaireau est l'évolution de Sabelette à partir du niveau 22.
Notes : Sabelette évolue au niveau 16 dans Pokémon Quest.
Sablaireau apparaît pour la première fois dans l'EP033 où il participe à la course.
Un Sablaireau apparaît dans l'épisode 71 et fait également une apparition notable dans l'EP141, épisode où Sacha capture son Héricendre.
Un autre Sablaireau apparaît dans l'EP219 sur l'Île de la Pierre d'Argent, il appartient à Jenaro. Dans l'épisode 204, Pietra en possède un.
Sablaireau apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidoran♀,Poison,"Nidoran♀ est un Pokémon femelle au corps bleu tirant vers le blanc. Elle possède des taches violettes de chaque côté de son corps. Ses yeux sont rouges, et elle a deux grandes oreilles dont l'intérieur est bleu canard et violet. Elle est munie d'une grande dent et de quatre moustaches, faisant penser à un rongeur. Ce quadrupède possède deux petites griffes à chaque patte et possède deux piquants au bas du dos.
Cette espèce est composée uniquement d'individus femelles, mais la contrepartie mâle est Nidoran♂.
Lorsqu'elle est chromatique, Nidoran♀ a la peau rose/violacée et non bleue et l'intérieur des oreilles est vert. Sa palette de couleurs est alors très similaire à celle de son homologue mâle.
Nidoran♀ évolue à partir du niveau 16 en Nidorina, qui évolue en Nidoqueen lorsqu'elle est mise en contact avec une Pierre Lune.
Dans Pokémon Quest, Nidorina évolue en Nidoqueen à partir du niveau 36, sans pierre évolutive.
Nidoran♀ n'apprend aucune capacité via le donneur de capacités.
La première apparition, très rapide, se fait dans l'épisode 30.
On peut en voir un rose sur l'île Guimauve dans l'épisode 88.
Les deux espèces de Nidoran sont au centre du scénario de l'épisode 100, où deux Nidoran de sexes opposés appartenant à deux Dresseurs ne pouvant pas se supporter sont amoureux l'un de l'autre.
On voit un couple de Nidoran dans l'épisode 126 également.
On peut en voir un à la Pension Pokémon dans l'épisode 157 et dans l'Antre du Dragon dans les épisodes 252 et 253.
Goh en capture un dans le LV020.
Nidoran♀ apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Nidoran♀ apparaît également sur les cartes suivantes :
Bien que Nidoran♀ et Nidoran♂ soient considérés comme deux espèces distinctes, il est possible qu'un Nidoran♀ puisse produire un Œuf de Nidoran♂ et vice-versa.
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidorina,Poison,"Étrangement, dans la famille évolutive des Nidoran, Nidorina et Nidoqueen sont deux Pokémon inaptes à la reproduction.
Nidorina est un Pokémon femelle au corps bleu tirant vers le blanc. Il possède des taches bleu foncé sur ses pattes arrière en plus de piques hérissant son dos. Ses yeux sont rouges et il a deux grandes oreilles bleu foncé et bleu clair. Il est muni de deux canines, mais n'a pas de moustaches, contrairement à sa pré-évolution. Il a trois griffes à chaque patte.
Vivant souvent en groupe, Nidorina devient facilement nerveux lorsqu'il est isolé de ses congénères.
Cette espèce est composée uniquement d'individus femelles, mais la contrepartie mâle est Nidorino.
Lorsqu'elle est chromatique, Nidorina a la peau rose/violacée et non bleue et l'intérieur des oreilles vert.
Nidorina est l'évolution à partir du niveau 16 de Nidoran♀, et évolue en Nidoqueen lorsqu'elle est mise en contact avec une Pierre Lune.
Dans Pokémon Quest, Nidorina évolue au Niveau 36 en Nidoqueen, les pierres évolutives n'existant pas dans ce jeu.
Nidorina n'apprend aucune capacité via le donneur de capacités.
Nidorina apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidoqueen,Poison,"Nidoqueen est un Pokémon bipède au corps cuirassé de couleur principalement bleu à l'exception de son menton, sa poitrine et son abdomen étant de couleur crème. Elle dispose d'une corne sur le front ainsi qu'une colonne de pics allant du dos jusqu'à sa queue. Ses oreilles possèdent un pic et l'intérieur est marron. Ses mains disposent de trois doigts griffus et ses pieds possèdent deux orteils griffus. Contrairement à ses pré-évolutions, elle dispose une sorte de bec édenté. Avant la quatrième génération, certains artworks ou sprites représentaient ce Pokémon avec une dentition.
Avec Nidorina, Nidoqueen a comme particularité singulière d'être incapable de se reproduire tandis que sa contrepartie mâle, Nidoking, est apte à la reproduction.
Cette espèce est composée uniquement d'individus femelles, mais la contrepartie mâle est Nidoking.
Lorsqu'elle est chromatique, Nidoqueen a la peau verte et non bleutée, tandis que l'intérieur de ses oreilles et les parties de son buste habituellement marron pâle ou blanc sont roses.
Nidoran♀ évolue en Nidorina à partir du niveau 16, et se transforme ensuite en Nidoqueen lorsqu'elle est mise en contact avec une Pierre Lune.
Dans Pokémon Quest, Nidorina évolue en Nidoqueen à partir du niveau 36, sans pierre évolutive.
Avant la quatrième génération, Nidoqueen avait des dents qui sont visibles sur ses sprites. On peut également constater ce détail en regardant son artwork officiel de la première génération.
Nidoqueen apparaît pour la première fois dans le premier film Pokémon : Le film, où il fait partie des Pokémon enlevés et clonés par Mewtwo.
Le deuxième Champion d'Arène de l'Archipel Orange que Sacha affrontera dans l'Épisode 93 utilisera un Nidoqueen lors de cette confrontation (qui ne sera pas un match Pokémon mais une suite de divers concours d'adresse).
Régis possède lui aussi un Nidoqueen, que l'on verra pour la première fois dans l'Épisode 115, et il l'utilisera notamment dans son match contre Sacha durant la Conférence Argentée (Épisode 270), triomphant de Tauros mais ne pouvant lutter contre la puissance de Ronflex.
Un Nidoqueen participe à la course extrême dans l'EP228.
Dans l'édition de Glénat, Nidoqueen est le titre du chapitre 38.
Nidoqueen apparaît pour la première fois dans l'extension Base Set 2, jamais sortie en France.
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidoran♂,Poison,"Nidoran♂ est un Pokémon mâle de couleur mauve. Son dos est muni de trois rangées de piquants. Ses grandes oreilles, dont l'intérieur est bleu canard, sont cornées. Sa peau est tachetée de violet sur chaque côté de son corps. Sa mâchoire ne compte qu'une dent et ses yeux sont rouges. Ce quadrupède possède deux griffes à chacune de ses pattes, ainsi qu'une corne sur son front.
Cette espèce est composée uniquement d'individus mâles, mais la contrepartie femelle est Nidoran♀.
Lorsqu'il est chromatique, Nidoran♂ a la peau bleue plutôt que violacée, et l'intérieur de ses oreilles est marron. Sa palette de couleurs est alors très similaire à celle de son homologue femelle.
Nidoran♂ évolue à partir du niveau 16 en Nidorino, qui évolue en Nidoking lorsqu'il est mis en contact avec une Pierre Lune.
Dans Pokémon Quest, Nidorino évolue en Nidoking à partir du niveau 36, sans pierre évolutive.
Nidoran♂ n'apprend aucune capacité via le donneur de capacités.
Le premier Nidoran♂ apparaît dans l'épisode 28, où il est un des Pokémon relookés par la Team Rocket.
Un Nidoran♂ participe au casting de l'épisode 69. On peut en voir un à la Pension Pokémon de l'épisode 157, ainsi que dans l'Antre du Dragon dans l'épisode 252 et l'épisode 253.
Les deux espèces de Nidoran sont au centre du scénario de l'épisode 100, où deux Nidoran de sexes opposés appartenant à deux Dresseurs ne pouvant pas se supporter, sont amoureux l'un de l'autre.
On voit un couple de Nidoran dans l'épisode 126 également.
Goh en capture un dans le LV020.
Nidoran♂ a une figurine à son effigie dans le jeu de figurines à collectionner, dans la première extension : le Premier Défi. Sa figurine est la numéro 32. Pour plus d'informations, voir Nidoran♂ (Premier Défi 32).
Nidoran♂ apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Nidoran♂ apparaît également sur les cartes suivantes :
Bien que Nidoran♀ et Nidoran♂ soient considérés comme deux espèces distinctes, il est possible qu'un Nidoran♂ puisse produire un Œuf de Nidoran♀ et vice-versa. Ceci est également valable pour Nidorino et Nidoking.
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidorino,Poison,"Nidorino est un Pokémon mâle au corps violet. Il possède une corne sur son front, une paire de canines et une colonne de piquants sur son dos. Ses grandes oreilles, dont l'intérieur est bleu canard pâle, sont munies de deux cornes chacune. Sa peau comporte quelques taches violet foncé par endroits et ses yeux sont rouges. Ce quadrupède possède trois griffes à chaque patte.
Cette espèce est composée uniquement d'individus mâles. La contrepartie femelle est Nidorina.
Lorsqu'il est chromatique, Nidorino a la peau bleue plutôt que violacée. L'intérieur de ses oreilles est rougeâtre.
Dans Pokémon Quest, Nidorino évolue au Niveau 36 en Nidoking, les pierres évolutives n'existant pas dans ce jeu.
Nidorino n'apprend aucune capacité via le donneur de capacités.
On aperçoit un Nidorino à la télévision dans l'épisode 1, lorsque Sacha regarde un match Pokémon.
On a l'occasion d'apercevoir brièvement un troupeau de Nidorino dans l'épisode 33.
Sacha combat un Nidorino pour son deuxième match de la Ligue Indigo sur le terrain rocheux dans l'Épisode 76 et en vient à bout avec Carapuce.
Dans l'épisode 100, les deux Nidoran amoureux évoluent en Nidorino et Nidorina après s'être donnés un baiser.
Tewattoss possède un Nidorino et un Nidorina dans l'épisode 198.
Nidorino apparaît pour la première fois dans l'extension 拡張シート, jamais sortie en France.
Nidorino apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Nidoking,Poison,"Nidoking est un Pokémon bipède à l'allure bestiale. Son corps cuirassé est principalement violet et sa partie pectorale est gris blanc. Il dispose d'une grosse corne empoisonnée sur le front ainsi que de plusieurs excroissances pointues longeant son dos. Ses oreilles possèdent des pics et l'intérieur est bleu canard. Sa mâchoire inférieure dispose de dents pointues dont deux crocs dépassant de sa bouche. Ses mains se composent de trois doigts griffus à l'exception de ses pieds, ne possédant qu'un orteil griffu. Contrairement à ses pré-évolutions, il dispose une épaisse queue ornée de marques circulaires.
Nidoking est principalement inspiré de Baragon, un kaijū apparu pour la première fois dans le film Frankenstein vs. Baragon.
Une des particularités de Nidoking est qu'il est capable de se reproduire tandis que son équivalent femelle, Nidoqueen, est inapte à la reproduction.
Cette espèce est composée uniquement d'individus mâles. La contrepartie femelle est Nidoqueen.
Lorsqu'il est chromatique, Nidoking a la peau turquoise et l'intérieur de ses oreilles est orangé. Il présente ainsi des similarités avec la forme non chromatique de Nidoqueen.
Nidoran♂ évolue en Nidorino à partir du niveau 16, et se transforme ensuite en Nidoking lorsqu'il est mis en contact avec une Pierre Lune.
Dans Pokémon Quest, Nidorino évolue en Nidoking à partir du niveau 36, sans pierre évolutive.
Sa première apparition se fait rapidement dans l'épisode 47 où il est l'un des Pokémon blessés.
Régis possède un Nidoking (ainsi qu'une Nidoqueen), que l'on voit pour la première fois dans l'épisode 63 où il l'utilise pour tenter d'obtenir le Badge Terre et a échoué face à Mewtwo, et qui perd également face à un Grolem lors du 4e tour de la Ligue Indigo dans l'épisode 77, causant l'élimination de Régis. Régis et son Nidoking réapparaissent également dans Pokémon : Le film.
On voit également un Nidoking rose (à cause de son alimentation riche en fruits roses) dans l'épisode 88.
Un Nidoking se bat avec un Insécateur au Centre de dressage de l'épisode 140.
Un Nidoking participe au Tournoi Pokémon Sumo de l'épisode 194 et on en aperçoit un à la Conférence Argentée dans l'épisode 266.
Dans l'épisode 493, un Dresseur qui participe au concours de Floraville utilise un Nidoking.
Pendant son match contre Brandon, Paul utilise un Nidoking.
L'introduction japonaise de La légende du tonnerre montre que Silver possède également un Nidoking.
Dans l'édition de Glénat, Nidoking est le titre du chapitre 21.
Nidoking apparaît pour la première fois dans l'extension Set de Base, sortie le 18 novembre 1999 en France.
Nidoking apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
Mélofée,Fée,"Mélofée est un petit Pokémon bipède. Il a la fourrure rase et rose, avec deux oreilles dressées se terminant par une pointe brune. Entre elles, on trouve une grande mèche bouclée de fourrure rose. Il est plutôt timide et se cache dans les grottes où se trouvent des Pierres Lune, cohabitant avec des dizaines d'autres Mélofée. C'est un Pokémon très intelligent ; dans leur clan, ils ont leur propre hiérarchie. On peut malgré tout les apercevoir lors des nuits de pleine lune, avec un peu de chance, en train de danser autour de la Pierre Lune. Les Mélofée viendraient de l'espace.
Dans les premières générations des jeux principaux, Mélofée était initialement connu pour sa rareté.
Il n'y a aucune différence entre les individus mâles et femelles de cette espèce.
Lorsqu'il est chromatique, Mélofée a la peau plus pâle et le bout des oreilles vert plutôt que marron.
Mélofée est l'évolution de Mélo (apparu dans la deuxième génération) lorsque ce dernier est suffisamment heureux. Il évolue en Mélodelfe au contact d'une Pierre Lune.
Mélofée a été distribué de manière événementielle à une occasion :
Mélofée apparaît pour la première fois dans l'extension Carte promotionnelle, jamais sortie en France.
Mélofée apparaît également sur les cartes suivantes :
Cet article fait partie du Projet Pokédex, qui a pour but la mise en place d'articles exhaustifs pour chaque Pokémon. Merci de lire la page du projet avant toute édition !
"
